,cantidad,keyword,toxicity
991,1,Emmanuel Macron,0.3076019990909091
992,1,Fertilidad,0.3076019990909091
993,1,maternidad,0.3076019990909091
994,1,Mujer,0.3076019990909091
995,1,Thomas Bach,0.042960604
996,1,IPC Congreso,0.11889022
997,1,emisión,0.2107563275704698
998,1,inflación mayorista,0.18427794385000001
1106,1,inversiones energética,0.24288234077777776
999,1,Acuerdo Bilateral Limítrofe de 1998,0.3568330244835821
1105,1,Gasto público,0.24288234077777776
1000,1,Hielos Continentales,0.3568330244835821
1001,1,Inventario Nacional de Glaciares,0.3568330244835821
1002,1,Límites con Chile,0.3568330244835821
1003,1,Queja a la Cancillería,0.3568330244835821
1104,1,costo social,0.24288234077777776
1004,1,Bienes Personales,0.3109097
1103,1,Ajuste fiscal,0.24288234077777776
1025,1,Jennifer Lopez,0.20634675781818185
1026,1,Los Ángeles,0.20634675781818185
1027,1,Adrián Suar,0.14242135
1028,1,House of Cards,0.14242135
1048,1,SIP,0.2885310412236024
1049,1,Sociedad Interamericana de Prensa,0.2885310412236024
1077,1,Resultados fiscales,0.13571849149999998
1076,1,ministerio de Hacienda,0.13571849149999998
1075,1,real estate,0.15225800074074078
1074,1,Construcción Argentina,0.15225800074074078
1051,1,test y trivias,0.3291776232
1052,1,trivias,0.3291776232
1073,1,fútbol mexicano,0.009879748
1053,1,Ministerio de Trabajo,0.24270839613432846
1054,1,cv,0.4687704475
1055,1,Twitter,0.4687704475
1072,1,Violencia escolar,0.3099336257938143
1056,1,Calu Rivero,0.2979689171176471
1057,1,Campanas en la noche,0.2979689171176471
1058,1,Eliseo Barrionuevo,0.2979689171176471
1059,1,Brexit,0.0891054
1060,1,Europa,0.0891054
1061,1,Londres,0.0891054
1062,1,Unión Europea,0.0891054
1063,1,Afganistán,0.200316645
1064,1,ataques terroristas,0.200316645
1070,1,adolescentes,0.3099336257938143
1065,1,Elecciones en Afganistán,0.200316645
1066,1,talibanes,0.200316645
1078,1,Timbreo,0.3498888641025642
1047,1,Populismo,0.2885310412236024
1079,1,Bloque Justicialista,0.24586670491176466
1036,1,Cristiano Ronaldo,0.22948287239999995
1029,1,Pol-ka,0.14242135
1089,1,Mohammed bin Salman,0.43865317666666664
1030,1,Colón,0.340912526
1088,1,ecoparque porteño,0.2800721174375
1032,1,Gimnasia de La Plata,0.1346799
1087,1,Ecoparque,0.2800721174375
1033,1,Vélez,0.1346799
1086,1,Pronóstico,0.090836425
1085,1,Unión Cívica Radical,0.33633828942029
1084,1,Movimientos sociales,0.33633828942029
1083,1,José Cano,0.33633828942029
